pheno,N,N_case,N_control,ldsc_int,ldsc_int_se,ldsc_h2,ldsc_h2_se,ldpred2_n_keep,ldpred2_h2,ldpred2_p
M_less_hair,82373,,,1.08,0.0147,0.29,0.0307,28,0.313,0.00279
M_log_oestradiol,26816,,,0.991,0.00656,0.0258,0.0171,5,0.016,0.00511
M_log_testosterone,154722,,,1.01,0.00842,0.0687,0.00846,25,0.0544,0.00158
MCH,379315,,,1.09,0.0184,0.218,0.0241,30,0.225,0.00331
MCV,379414,,,1.11,0.0199,0.233,0.0231,30,0.244,0.00414
monocyte_perc,375784,,,1.12,0.0223,0.189,0.0203,29,0.202,0.00383
more_evening,349238,,,1.01,0.012,0.126,0.00458,25,0.127,0.0305
more_sunscreen,388263,,,0.994,0.00934,0.0601,0.00467,26,0.0531,0.00691
myopia,,25473,58773,1.04,0.00978,0.344,0.0201,23,0.372,0.00757
narcolepsy,,90050,299510,0.996,0.00949,0.0999,0.00527,22,0.0962,0.0206
neuroticism,317218,,,1.01,0.0119,0.121,0.00454,25,0.12,0.0321
neutrophil_perc,378006,,,1.09,0.0178,0.146,0.00937,29,0.153,0.00736
no_sex,,3320,343976,0.991,0.00631,0.13,0.021,12,0.107,0.00805
phosphate,340814,,,1.03,0.0131,0.124,0.0111,29,0.118,0.00458
play_computer,,81840,308868,1.01,0.01,0.157,0.00629,23,0.16,0.0641
poorer_health,389442,,,1.03,0.0101,0.0994,0.00321,23,0.104,0.0769
protein,341099,,,1.09,0.0191,0.156,0.00986,28,0.173,0.00936
red_hair,,17937,367265,0.995,0.00841,0.73,0.572,30,0.95,9.6e-05
reticulocyte_volume,373165,,,1.11,0.0194,0.186,0.0169,30,0.198,0.0034
self_harm_thoughts,,20747,106185,1,0.00783,0.115,0.0128,16,0.117,0.0136
sensitive_stomach,,29534,99433,0.986,0.00741,0.128,0.00955,20,0.113,0.0148
sitting_height,389698,,,1.24,0.027,0.324,0.0141,29,0.372,0.0193
snoring,,136092,227944,1.01,0.00942,0.105,0.00485,22,0.107,0.0271
sodium_urine,379130,,,1,0.00925,0.0726,0.00295,23,0.071,0.0265
sphered_cell_volume,373060,,,1.14,0.019,0.196,0.0171,29,0.216,0.0049
systolic_BP,365124,,,1.04,0.0136,0.142,0.00488,27,0.147,0.0197
urate,372512,,,1.07,0.0154,0.216,0.0386,30,0.206,0.00545
water_intake,387904,,,1.01,0.0102,0.0744,0.00322,23,0.0753,0.0283
years_of_edu,320190,,,1.06,0.0103,0.103,0.00395,23,0.116,0.0875
